FR,AL,AT,ET,ES,UE,UL,FL
6,10.18,0.82,5,13977,1.06,0.81,3
6,10.75,1.41,2,26931,0.97,1.31,3
5,24.88,0.68,1,5266,0.56,0.57,3
6,12.45,1.27,5,31538,0.89,1.23,2
6,5.85,0.64,2,23922,1.21,0.49,2
5,7.47,0.7,4,7761,1.08,0.59,3
5,12.7,0.83,0,16293,0.84,0.74,3
6,8.02,0.46,10,28387,0.89,0.36,1
6,12.65,1.35,0,6521,0.96,1.36,3
6,12.68,1.42,3,23713,0.99,1.34,2
6,5.31,0.82,9,25611,1.02,0.78,2
5,10.55,0.8,0,8912,1.29,0.65,2
5,10.3,0.66,2,34510,1.09,0.52,1
6,6.19,0.92,6,14447,1.2,0.77,3
6,6.51,0.69,1,30877,1.05,0.6,1
5,6.8,0.82,9,16849,0.98,0.77,3
6,13.53,1.43,1,11569,0.9,1.33,3
6,6.89,0.71,7,9585,1.08,0.6,3
6,52.8,1.07,1,20934,0.74,1.24,2
6,11.95,1.28,8,10154,0.94,1.23,3
5,12.17,0.82,3,25860,1.09,0.94,2
6,8.6,1.25,2,27124,1.01,1.22,2
4,41.44,0.97,6,0,0.39,1.15,3
6,6.33,0.87,0,27735,0.83,0.84,3
6,7.76,0.85,10,44874,0.94,0.81,3
6,8.24,0.78,0,32337,0.67,0.62,1
6,9.64,1.37,0,14388,0.88,1.28,3
6,7.28,1.28,9,13541,1.01,1.21,2
6,6.86,0.71,8,19714,1.16,0.56,2
4,15.46,1.07,4,7590,0.86,1.21,3
6,6.34,0.77,2,16485,1.07,0.67,3
5,11.2,1.39,5,16992,0.92,1.23,2
6,9.41,0.98,6,11936,0.95,0.92,2
6,43.3,1.05,0,9963,1.17,1.22,2
5,16.36,1.24,0,8786,0.9,1.11,2
5,36.21,0.78,0,4419,0.7,0.63,2
6,13.25,1.37,0,16346,0.87,1.37,2
6,12.8,1.4,14,22784,0.96,1.35,3
6,8.75,0.83,4,18000,0.25,0.76,3
6,6.54,0.82,7,19811,1.04,0.78,2
6,6.54,0.92,3,19506,1.13,0.85,3
5,12.15,1.18,11,7987,0.86,1.08,3
5,12.13,0.71,2,25075,0.93,0.58,2
6,16.98,1.23,0,19616,0.87,1.28,1
6,4.84,0.72,7,37499,1.23,0.58,2
6,11.38,1.02,1,17448,1.01,0.86,1
4,11.71,1.0,3,11829,1.1,0.96,3
6,7.8,1.04,3,19783,0.99,0.93,2
6,8.36,0.81,5,10512,0.95,0.77,3
5,40.8,1.05,0,6109,0.52,1.15,1
6,5.6,0.86,12,33537,1.01,0.76,3
6,5.78,0.86,11,12813,0.83,0.75,3
6,6.6,0.86,4,19991,1.15,0.73,2
6,9.55,0.83,8,13084,0.92,0.81,2
5,17.05,1.44,5,5728,0.59,1.36,3
6,5.9,0.7,2,22219,1.22,0.55,2
5,37.33,1.16,8,26539,1.3,1.14,3
4,12.83,0.83,8,12206,1.32,0.86,3
6,12.15,1.34,2,16134,0.85,1.24,2
6,43.0,1.06,2,23406,0.89,1.29,1
6,15.13,0.93,3,38089,1.37,1.03,2
6,23.4,1.18,0,11892,0.83,1.29,1
6,16.64,1.4,5,10923,0.91,1.35,2
4,7.73,0.96,3,16651,0.93,0.94,2
6,6.43,0.89,8,21641,0.98,0.85,2
6,13.38,1.46,2,11909,0.69,1.33,3
5,10.6,0.68,10,12972,0.9,0.62,3
6,6.5,0.82,3,14002,0.96,0.76,3
5,9.85,0.67,1,28686,0.73,0.57,3
6,14.06,1.37,2,12700,1.03,1.2,2
5,14.82,0.87,5,33444,1.11,0.92,2
6,8.88,0.81,0,13201,0.96,0.77,2
6,4.71,0.85,6,29677,0.95,0.8,3
5,12.05,0.76,2,56264,1.03,0.68,3
5,14.22,1.12,1,8902,0.99,1.02,3
6,14.95,1.39,2,12898,0.91,1.37,1
6,6.98,0.79,1,28280,0.99,0.78,2
6,7.57,0.94,4,14713,1.01,0.85,3
6,38.0,0.9,5,7696,0.44,1.07,3
4,21.35,1.42,0,7321,0.91,1.31,2
5,20.06,0.91,8,34453,0.63,1.01,2
5,8.47,0.68,4,8235,0.84,0.55,3
6,11.36,0.78,0,5960,1.05,0.62,2
5,10.32,0.86,0,11001,0.83,0.86,2
6,8.67,0.84,8,17342,1.06,0.75,3
6,6.22,0.82,2,23843,0.8,0.84,3
6,5.97,0.84,8,26655,0.46,0.79,2
5,8.22,0.83,1,32696,1.02,0.74,3
6,9.49,1.43,17,10402,0.86,1.31,3
6,7.52,0.95,6,18631,0.79,0.8,3
5,7.85,0.72,4,15595,1.05,0.6,2
6,8.78,0.8,6,91290,0.92,0.78,2
6,6.73,0.74,2,21710,1.03,0.7,2
5,25.54,0.65,0,5457,0.51,0.47,3
5,29.26,0.97,0,5195,0.62,1.04,2
6,5.34,0.87,6,30748,1.08,0.82,2
6,9.73,1.19,0,10603,0.93,1.17,1
5,14.78,1.2,12,152213,0.93,1.13,3
4,16.36,0.77,0,7624,0.94,0.72,3
6,6.66,0.88,4,9611,0.83,0.82,2
6,15.6,1.32,0,7136,0.94,1.21,3
6,9.39,0.76,11,90849,0.91,0.72,2
6,12.22,0.69,3,32459,0.87,0.6,2
6,10.05,0.71,1,28661,1.22,0.55,1
5,9.33,0.74,3,10725,1.0,0.65,2
6,9.34,1.33,4,26342,0.98,1.24,3
6,26.04,1.38,0,7020,0.86,1.27,2
4,18.39,0.74,3,3446,0.56,0.7,2
5,11.16,0.75,0,34192,0.91,0.68,2
6,13.25,1.44,0,9199,0.92,1.37,2
6,20.17,1.46,0,15175,0.95,1.32,2
5,7.12,0.84,0,8962,1.01,0.78,3
6,14.21,1.42,4,12488,0.95,1.36,1
6,13.69,1.43,0,8790,0.99,1.35,3
5,14.27,0.78,0,23523,1.22,0.7,3
5,11.95,0.83,4,14395,0.95,0.66,3
5,9.92,0.71,2,17815,0.83,0.57,2
5,15.5,1.37,10,4285,0.92,1.34,3
6,6.79,0.62,6,12147,1.3,0.42,3
6,7.33,0.77,9,8541,0.43,0.69,3
5,5.2,0.69,2,13209,1.22,0.59,3
6,4.34,0.8,5,34137,1.1,0.78,2
5,14.79,0.84,0,16349,1.22,0.87,3
4,52.91,1.01,4,11659,0.53,1.18,3
4,20.23,0.95,7,68956,1.03,1.0,3
6,30.8,0.76,1,23654,0.57,0.61,2
5,11.73,0.76,0,11725,1.34,0.59,3
6,8.39,0.89,0,15740,0.99,0.83,3
6,12.45,1.08,0,7560,1.01,0.99,1
6,6.21,0.75,4,33290,1.08,0.66,2
6,14.65,1.33,0,6567,0.94,1.29,3
5,7.7,0.91,0,14015,0.45,0.83,2
5,11.02,0.74,2,9545,0.9,0.67,3
6,15.33,1.46,2,2932,0.89,1.35,3
6,16.18,1.46,7,8371,0.91,1.42,2
6,6.19,0.9,2,12111,0.91,0.86,3
5,26.3,1.43,0,12369,0.95,1.32,1
5,34.45,1.03,4,4609,0.51,1.23,3
5,11.2,1.11,3,7899,0.76,1.01,3
6,28.22,0.56,0,18888,0.64,0.54,3
5,14.08,0.76,0,8150,0.95,0.65,1
6,7.42,0.73,2,16894,1.0,0.65,2
5,15.62,1.4,5,10889,0.86,1.3,1
4,7.75,0.9,2,16124,0.97,0.83,2
4,22.56,1.24,0,7674,0.96,1.23,3
5,24.33,1.39,6,2075,0.88,1.26,2
4,27.88,0.98,2,11153,0.54,1.14,1
6,14.36,1.42,0,7485,0.74,1.33,2
6,8.5,0.97,0,28178,1.06,0.85,3
6,5.69,0.69,0,22693,1.13,0.56,2
4,25.32,0.65,0,4108,0.54,0.47,1
5,9.39,0.84,4,5091,0.84,0.83,3
5,11.0,0.75,8,20112,0.98,0.63,3
6,7.57,0.78,2,19489,1.17,0.62,2
5,6.03,0.71,1,14051,1.06,0.61,3
4,6.78,0.79,4,11775,0.96,0.68,2
5,20.2,0.82,0,9087,0.7,0.88,2
5,64.67,1.03,9,3488,0.47,1.2,3
6,22.12,1.44,0,5606,0.95,1.3,2
5,32.14,1.36,0,888,0.85,1.22,2
5,9.51,0.73,3,9570,0.94,0.67,2
6,10.68,0.7,0,9397,0.89,0.51,1
6,6.45,0.7,4,43728,1.24,0.56,3
6,15.09,1.23,3,7126,0.89,1.23,3
6,8.73,1.34,6,20810,0.95,1.27,2
6,5.47,0.87,6,20311,1.0,0.84,3
5,15.82,0.77,1,3464,0.8,0.62,3
5,7.54,0.75,2,24733,1.15,0.61,2
5,41.8,0.94,3,2526,0.65,0.91,3
6,8.77,0.76,9,20404,0.93,0.67,2
6,7.79,0.92,2,11711,1.03,0.85,3
4,42.33,0.63,0,8720,0.5,0.47,1
5,14.89,0.89,4,16149,1.03,0.93,1
5,10.0,0.81,5,51827,0.97,0.7,3
6,7.01,1.3,0,18007,1.03,1.27,1
6,6.33,0.71,6,17330,1.14,0.61,2
6,11.67,1.23,0,8384,1.25,1.19,3
6,8.37,1.4,2,18137,1.03,1.34,2
5,14.62,1.45,0,9254,0.67,1.34,2
6,6.87,0.72,4,26272,1.05,0.58,3
6,12.75,1.18,0,5247,1.0,1.1,3
6,16.86,0.76,0,10069,0.91,0.65,1
6,7.19,0.84,0,28058,1.02,0.83,3
5,10.56,0.7,3,6253,0.98,0.58,2
6,10.3,1.41,0,5703,0.99,1.32,3
6,5.9,0.84,7,59196,0.93,0.92,3
6,7.85,1.11,0,17511,0.76,1.01,1
6,8.8,0.82,4,55008,1.0,0.75,2
6,5.9,0.71,5,84129,1.24,0.57,2
4,38.18,0.72,0,4520,0.78,0.5,2
6,15.74,1.39,0,6120,0.88,1.36,3
6,8.33,0.87,0,41057,0.94,0.81,2
6,9.04,0.98,10,19555,0.94,0.92,2
5,10.57,0.88,2,18651,0.89,0.87,3
5,14.89,1.37,0,2538,0.98,1.31,3
6,9.81,0.75,9,8584,1.02,0.65,3
5,9.53,0.77,2,14526,1.03,0.67,3
6,16.14,1.43,0,12279,0.94,1.33,2
6,20.29,1.46,2,33142,0.9,1.41,2
5,6.52,0.75,4,22576,1.07,0.66,2
5,11.24,1.46,3,10174,0.31,1.24,3
5,12.02,0.73,0,4180,2.59,0.36,3
5,8.41,0.79,0,17811,0.93,0.7,1
5,13.24,0.78,10,11574,0.98,0.66,3
4,32.25,0.7,0,2846,0.65,0.5,2
6,7.23,0.84,0,18587,0.25,0.7,2
6,6.09,0.97,9,48199,1.05,0.93,2
6,8.81,1.31,15,18359,1.06,1.21,2
6,7.03,0.82,14,17937,1.09,0.74,2
6,6.3,0.75,4,25103,0.94,0.61,2
5,15.66,1.3,3,7704,1.05,1.0,3
6,8.99,0.77,5,7551,1.05,0.67,3
6,7.56,0.72,2,104237,1.06,0.63,3
6,8.91,0.78,0,13395,1.01,0.71,1
6,5.38,0.68,14,37056,0.99,0.52,2
5,9.86,0.72,4,6449,0.97,0.64,3
4,12.61,0.79,2,12748,0.89,0.68,3
5,26.61,0.74,2,14649,0.52,0.6,3
6,7.15,1.27,1,14295,0.56,1.29,1
5,15.96,1.43,6,2950,1.03,1.27,3
6,19.19,1.45,2,4632,1.05,1.13,3
5,10.58,0.86,0,15937,0.81,0.78,2
6,27.86,0.97,0,32297,1.12,1.01,1
5,7.89,0.75,6,14530,0.76,0.66,3
4,59.17,0.65,1,0,0.58,0.38,2
5,12.31,0.81,3,12939,0.95,0.75,1
5,7.73,0.82,1,13211,0.91,0.78,2
6,8.56,0.71,3,24878,0.99,0.64,2
4,14.21,0.89,0,12272,0.98,0.83,2
5,11.82,0.86,6,13298,0.98,0.81,3
6,8.23,1.22,5,17207,1.04,1.17,2
5,9.31,0.79,5,17261,0.99,0.71,2
6,17.74,1.36,5,8629,0.91,1.28,2
6,7.16,0.93,8,30864,0.76,0.93,2
5,16.6,1.45,0,10037,0.77,1.32,3
5,22.77,1.38,6,4674,0.74,1.39,3
6,9.47,0.78,3,9605,1.06,0.67,3
6,7.48,0.89,3,13280,1.04,0.85,2
5,13.09,1.34,10,5780,0.87,1.21,3
6,9.9,1.24,15,4484,1.02,1.14,3
6,10.48,0.97,2,5126,0.88,0.92,2
6,19.71,0.93,0,2508,0.79,0.78,2
6,15.95,1.4,4,10367,0.81,1.26,2
6,7.46,1.43,3,9657,1.16,1.33,3
4,6.71,0.72,5,19901,1.12,0.57,2
5,5.73,0.85,3,28003,0.93,0.8,2
5,18.81,1.41,1,3577,0.71,1.39,2
6,7.35,0.73,4,14765,0.68,0.65,2
5,17.44,1.45,0,7055,0.84,1.41,2
5,18.97,1.39,0,3930,0.95,1.3,3
6,8.69,1.29,0,13052,1.01,1.22,2
6,8.68,0.75,5,20666,1.0,0.66,2
5,11.14,0.78,8,44754,0.87,0.72,3
4,15.04,0.78,5,26293,0.92,0.71,3
6,10.91,0.92,7,4468,0.96,0.88,3
6,7.29,0.76,1,15474,0.82,0.63,2
5,13.72,1.46,0,9644,1.04,1.32,3
6,11.16,0.88,8,21127,0.88,0.91,2
4,14.38,0.94,1,5582,0.93,1.06,3
6,19.97,1.3,5,3696,0.86,1.21,3
6,11.8,1.31,0,14227,0.92,1.25,2
5,14.25,1.43,1,8399,0.73,1.29,3
6,15.67,1.31,7,10877,0.94,1.27,1
5,7.08,0.75,7,11157,1.17,0.68,3
6,12.78,1.23,1,5428,1.06,1.08,3
6,15.86,1.36,3,18782,0.63,1.35,1
5,17.42,1.4,1,5206,0.88,1.32,2
6,6.98,1.44,2,9237,1.12,1.39,2
6,14.4,1.06,5,88716,0.97,0.99,3
5,10.56,0.74,0,6274,0.96,0.63,3
5,7.83,0.85,0,8479,1.04,0.78,3
5,42.58,0.97,0,6171,0.55,1.05,1
6,11.03,1.25,3,10585,0.75,1.14,3
5,15.66,1.25,0,2460,0.9,1.19,3
6,5.85,0.67,0,12633,1.27,0.52,3
5,9.53,0.73,0,10102,1.04,0.62,2
5,12.75,0.79,7,9953,1.02,0.72,2
5,9.93,0.72,0,7177,1.0,0.59,2
5,10.8,1.12,1,9268,1.1,1.02,3
5,36.15,0.66,2,2996,0.69,0.49,2
5,9.22,0.81,6,16456,0.99,0.74,3
6,8.18,0.75,0,10024,0.99,0.65,3
5,9.15,0.77,4,25212,0.8,0.68,3
4,32.89,0.76,1,2990,0.56,0.7,3
4,8.82,0.78,3,16962,0.88,0.78,3
5,7.39,0.88,2,10021,1.06,0.84,3
6,7.39,0.78,1,8769,0.95,0.68,2
6,7.94,0.72,0,21243,0.75,0.6,2
5,22.69,1.45,3,6105,0.88,1.39,3
5,9.83,0.83,1,5607,1.01,0.76,3
6,5.66,0.74,8,15376,1.23,0.6,3
4,6.95,0.8,1,2221,0.8,0.74,3
6,26.65,1.01,0,0,1.38,1.08,2
5,7.36,0.61,3,21134,1.18,0.45,2
6,9.51,0.88,6,15762,0.88,0.87,2
4,31.83,1.05,0,0,0.83,1.27,2
4,37.08,0.73,1,0,0.47,0.62,2
6,5.29,0.7,4,72589,1.17,0.67,2
6,8.49,0.8,1,16621,0.98,0.75,3
5,8.91,0.74,1,39539,1.11,0.6,3
6,16.6,0.99,4,9223,1.21,0.9,1
5,10.27,0.76,4,12747,0.98,0.7,3
5,8.84,0.78,5,5516,1.05,0.7,3
6,8.68,1.37,0,12772,1.08,1.3,1
5,7.88,0.88,4,12957,0.98,0.82,3
5,14.62,0.92,6,5959,0.96,0.84,3
5,9.88,0.72,2,14639,0.99,0.65,3
6,9.34,0.85,0,14753,1.0,0.81,3
6,14.5,0.86,1,8931,0.94,0.74,2
5,16.33,1.31,7,6476,0.93,1.27,1
4,28.16,0.88,4,14409,0.82,0.94,3
6,8.58,0.73,6,28309,0.97,0.71,2
6,15.1,1.45,3,11884,0.89,1.37,2
6,10.54,0.85,5,15172,0.88,0.89,2
5,9.56,0.79,1,8587,2.28,0.54,1
4,62.6,0.67,0,0,0.41,0.59,2
6,13.11,0.77,6,20707,0.84,0.74,3
6,18.76,1.43,3,6077,0.86,1.38,2
4,40.53,0.73,6,0,0.67,0.48,3
4,11.42,0.66,1,14454,0.68,0.59,3
4,24.95,0.53,0,0,0.52,0.39,3
5,12.85,0.87,0,3114,0.91,0.75,3
4,20.06,0.8,4,21915,0.88,0.83,3
6,16.95,1.3,0,6587,1.06,1.23,3
4,12.07,1.14,5,1776,0.87,1.11,3
5,10.69,0.91,6,5146,0.85,0.92,2
4,8.97,0.6,7,6420,0.99,0.42,3
6,9.58,0.79,3,43714,0.88,0.82,2
5,8.09,0.91,15,10300,1.05,0.91,2
5,14.1,1.25,2,5625,1.03,1.23,2
5,43.79,1.05,4,83761,0.53,1.21,3
6,14.4,0.73,1,12684,1.0,0.6,2
6,11.45,1.06,6,62675,0.96,0.99,3
5,11.03,0.78,4,7169,0.94,0.73,3
4,14.62,0.87,2,6522,0.95,0.89,1
4,24.07,0.79,3,15522,0.88,0.6,3
5,11.31,0.68,0,4728,1.18,0.52,3
6,7.51,0.79,3,16405,0.68,0.73,2
5,7.46,0.8,2,24336,0.82,0.67,3
5,10.74,0.71,0,3816,0.96,0.66,3
6,7.29,0.74,3,23540,1.08,0.65,3
5,11.92,0.67,4,15300,1.06,0.53,2
4,55.36,0.73,0,0,0.59,0.56,3
5,15.38,1.4,3,2106,0.96,1.29,3
6,14.18,1.43,3,13032,0.95,1.4,2
6,67.9,1.1,1,4292,0.82,1.2,3
5,8.0,0.81,6,32730,1.08,0.71,2
5,10.77,0.75,1,7828,1.04,0.63,3
